Year,SB,Tm,Opp,Result,Cmp,Att,Yds,TD,Int,Lng,Rate,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
2001,XXXVI,NWE,STL,W 20-17,16,27,145,1,0,23,86.2,1,3,0,3,0,0,0,0
2003,XXXVIII,NWE,CAR,W 32-29,32,48,354,3,1,52,100.5,2,12,0,12,0,0,0,0
2004,XXXIX,NWE,PHI,W 24-21,23,33,236,2,0,27,110.2,1,-1,0,-1,0,0,0,0
2007,XLII,NWE,NYG,L 14-17,29,48,266,1,0,19,82.5,0,0,0,0,0,0,0,0
2011,XLVI,NWE,NYG,L 17-21,27,41,276,2,1,21,91.1,0,0,0,0,0,0,0,0
2014,XLIX,NWE,SEA,W 28-24,37,50,328,4,2,23,101.1,2,-3,0,-1,0,0,0,0
2016,LI,NWE,ATL,W 34-28,43,62,466,2,1,28,95.2,1,15,0,15,0,0,0,0
2017,LII,NWE,PHI,L 33-41,28,48,505,3,0,50,115.4,1,6,0,6,0,0,0,0
2018,LIII,NWE,LAR,W 13-3,21,35,262,0,1,29,71.4,2,-2,0,-1,0,0,0,0
2020,LV,TAM,KAN,W 31-9,21,29,201,3,0,31,125.8,4,-2,0,0,0,0,0,0